model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
NeuralNetTorch_r71_BAG_L1,0.43529411764705883,roc_auc,0.013890266418457031,1.0764777660369873,0.013890266418457031,1.0764777660369873,1,True,57
NeuralNetTorch_r86_BAG_L1,0.43529411764705883,roc_auc,0.017908573150634766,1.3031809329986572,0.017908573150634766,1.3031809329986572,1,True,26
NeuralNetTorch_r185_BAG_L1,0.42745098039215684,roc_auc,0.015050888061523438,1.189054012298584,0.015050888061523438,1.189054012298584,1,True,62
NeuralNetTorch_r89_BAG_L1,0.42352941176470593,roc_auc,0.01702427864074707,1.190783977508545,0.01702427864074707,1.190783977508545,1,True,85
NeuralNetTorch_r87_BAG_L1,0.41960784313725485,roc_auc,0.015512943267822266,1.120438575744629,0.015512943267822266,1.120438575744629,1,True,56
NeuralNetTorch_r19_BAG_L1,0.4117647058823529,roc_auc,0.015493154525756836,1.2373640537261963,0.015493154525756836,1.2373640537261963,1,True,80
XGBoost_r33_BAG_L1,0.4019607843137255,roc_auc,0.005699872970581055,0.21342897415161133,0.005699872970581055,0.21342897415161133,1,True,17
NeuralNetTorch_r76_BAG_L1,0.3843137254901961,roc_auc,0.014530181884765625,1.082632064819336,0.014530181884765625,1.082632064819336,1,True,70
XGBoost_r89_BAG_L1,0.38431372549019605,roc_auc,0.005924701690673828,0.18627405166625977,0.005924701690673828,0.18627405166625977,1,True,23
XGBoost_r34_BAG_L1,0.3784313725490196,roc_auc,0.004729032516479492,0.16242599487304688,0.004729032516479492,0.16242599487304688,1,True,82
XGBoost_r31_BAG_L1,0.37254901960784315,roc_auc,0.005539417266845703,0.19422483444213867,0.005539417266845703,0.19422483444213867,1,True,61
XGBoost_r98_BAG_L1,0.3686274509803922,roc_auc,0.006231546401977539,0.16903328895568848,0.006231546401977539,0.16903328895568848,1,True,38
CatBoost_r167_BAG_L1,0.3647058823529412,roc_auc,0.0018808841705322266,0.37705302238464355,0.0018808841705322266,0.37705302238464355,1,True,36
XGBoost_r95_BAG_L1,0.3647058823529412,roc_auc,0.006319761276245117,0.14881515502929688,0.006319761276245117,0.14881515502929688,1,True,81
CatBoost_r198_BAG_L1,0.3607843137254902,roc_auc,0.0018527507781982422,0.2787787914276123,0.0018527507781982422,0.2787787914276123,1,True,79
XGBoost_r49_BAG_L1,0.3568627450980392,roc_auc,0.005475044250488281,0.16745305061340332,0.005475044250488281,0.16745305061340332,1,True,54
CatBoost_r180_BAG_L1,0.35686274509803917,roc_auc,0.0018634796142578125,0.5385069847106934,0.0018634796142578125,0.5385069847106934,1,True,69
CatBoost_r9_BAG_L1,0.34901960784313724,roc_auc,0.0019352436065673828,0.6855728626251221,0.0019352436065673828,0.6855728626251221,1,True,14
CatBoost_r12_BAG_L1,0.34509803921568627,roc_auc,0.001928567886352539,1.2081029415130615,0.001928567886352539,1.2081029415130615,1,True,74
CatBoost_r49_BAG_L1,0.3411764705882353,roc_auc,0.0016820430755615234,0.2334909439086914,0.0016820430755615234,0.2334909439086914,1,True,43
CatBoost_BAG_L1,0.33333333333333337,roc_auc,0.0017588138580322266,1.2005078792572021,0.0017588138580322266,1.2005078792572021,1,True,5
CatBoost_r86_BAG_L1,0.3254901960784313,roc_auc,0.001986980438232422,0.5230989456176758,0.001986980438232422,0.5230989456176758,1,True,41
CatBoost_r5_BAG_L1,0.32156862745098036,roc_auc,0.0016820430755615234,0.208176851272583,0.0016820430755615234,0.208176851272583,1,True,55
CatBoost_r6_BAG_L1,0.3137254901960784,roc_auc,0.0018088817596435547,0.21685409545898438,0.0018088817596435547,0.21685409545898438,1,True,67
CatBoost_r137_BAG_L1,0.3137254901960784,roc_auc,0.0018157958984375,0.2640800476074219,0.0018157958984375,0.2640800476074219,1,True,19
CatBoost_r13_BAG_L1,0.2980392156862745,roc_auc,0.0020449161529541016,1.108328104019165,0.0020449161529541016,1.108328104019165,1,True,20
CatBoost_r128_BAG_L1,0.2705882352941177,roc_auc,0.0021209716796875,0.6011350154876709,0.0021209716796875,0.6011350154876709,1,True,50
CatBoost_r163_BAG_L1,0.27058823529411763,roc_auc,0.0016531944274902344,0.27164483070373535,0.0016531944274902344,0.27164483070373535,1,True,78
RandomForest_r16_BAG_L1,0.2666666666666667,roc_auc,0.035256147384643555,0.18287897109985352,0.035256147384643555,0.18287897109985352,1,True,73
CatBoost_r60_BAG_L1,0.25490196078431376,roc_auc,0.0017991065979003906,0.24186110496520996,0.0017991065979003906,0.24186110496520996,1,True,63
CatBoost_r69_BAG_L1,0.25490196078431376,roc_auc,0.0018782615661621094,0.2654438018798828,0.0018782615661621094,0.2654438018798828,1,True,30
CatBoost_r50_BAG_L1,0.2392156862745098,roc_auc,0.0033593177795410156,0.24450302124023438,0.0033593177795410156,0.24450302124023438,1,True,27
CatBoost_r70_BAG_L1,0.23529411764705882,roc_auc,0.0017523765563964844,0.36212611198425293,0.0017523765563964844,0.36212611198425293,1,True,33
RandomForest_r195_BAG_L1,0.23137254901960788,roc_auc,0.030567169189453125,0.1587357521057129,0.030567169189453125,0.1587357521057129,1,True,21
RandomForest_r39_BAG_L1,0.23137254901960785,roc_auc,0.031764984130859375,0.25987720489501953,0.031764984130859375,0.25987720489501953,1,True,35
RandomForest_r15_BAG_L1,0.21176470588235297,roc_auc,0.027936935424804688,0.22071409225463867,0.027936935424804688,0.22071409225463867,1,True,64
RandomForest_r127_BAG_L1,0.19607843137254904,roc_auc,0.03016209602355957,0.2557718753814697,0.03016209602355957,0.2557718753814697,1,True,46
ExtraTrees_r42_BAG_L1,0.17647058823529413,roc_auc,0.029395341873168945,0.20218229293823242,0.029395341873168945,0.20218229293823242,1,True,18
ExtraTrees_r197_BAG_L1,0.17647058823529413,roc_auc,0.04751086235046387,0.2585570812225342,0.04751086235046387,0.2585570812225342,1,True,71
RandomForest_r166_BAG_L1,0.15294117647058825,roc_auc,0.028030872344970703,0.14354395866394043,0.028030872344970703,0.14354395866394043,1,True,60
RandomForestGini_BAG_L1,0.15294117647058825,roc_auc,0.029690980911254883,0.2766752243041992,0.029690980911254883,0.2766752243041992,1,True,3
RandomForestEntr_BAG_L1,0.13529411764705887,roc_auc,0.030079126358032227,0.14321684837341309,0.030079126358032227,0.14321684837341309,1,True,4
ExtraTrees_r172_BAG_L1,0.09019607843137253,roc_auc,0.02894425392150879,0.24178600311279297,0.02894425392150879,0.24178600311279297,1,True,29
ExtraTrees_r178_BAG_L1,0.07450980392156864,roc_auc,0.028150081634521484,0.32984399795532227,0.028150081634521484,0.32984399795532227,1,True,59
ExtraTrees_r49_BAG_L1,0.07450980392156864,roc_auc,0.031136035919189453,0.24819731712341309,0.031136035919189453,0.24819731712341309,1,True,44
ExtraTreesGini_BAG_L1,0.07450980392156864,roc_auc,0.042661190032958984,0.2558009624481201,0.042661190032958984,0.2558009624481201,1,True,6
ExtraTrees_r126_BAG_L1,0.04313725490196079,roc_auc,0.06079387664794922,0.21336698532104492,0.06079387664794922,0.21336698532104492,1,True,76
ExtraTreesEntr_BAG_L1,0.03137254901960784,roc_auc,0.0284578800201416,0.15157604217529297,0.0284578800201416,0.15157604217529297,1,True,7
RandomForest_r34_BAG_L1,0.0,roc_auc,0.027666807174682617,0.13692426681518555,0.027666807174682617,0.13692426681518555,1,True,47
ExtraTrees_r4_BAG_L1,0.0,roc_auc,0.03344082832336426,0.195936918258667,0.03344082832336426,0.195936918258667,1,True,52
